date,QQQ,AAOI,ACHR,ADBE,ALM,AMAT,AMZN,APLD,APP,ASML,ASTS,AVAV,AVGO,BE,CEG,COIN,CRCL,CRDO,CRML,CRWV,CVNA,FIGR,FSLR,FSLY,GEV,GLD,GOOGL,HOOD,IONQ,IREN,JOBY,KTOS,LITE,LLY,LRCX,META,MOD,MP,MRVL,MU,NBIS,NEE,NFLX,NKE,NOK,NVDA,NVT,NXT,OKLO,ORCL,PL,PLTR,QBTS,QCOM,RDW,RKLB,SLV,TSLA,TSM,USAR,USO,VIAV,VRT,VST
2020-02-14,225.87889099,11.89999962,,379.67001343,1.01024997,62.94213486,106.74349976,,,298.23205566,10.00000000,63.81999969,27.23775673,10.69999981,,,,,,,17.72400093,,55.25999832,22.95999908,,149.00000000,75.22071075,,,,,20.42000008,87.00000000,131.33320618,31.54629707,212.31552124,8.61999989,,24.43001556,57.04552078,,58.75273895,38.04000092,93.05106354,3.88951206,7.20374632,24.67485809,,,50.58328247,,,,77.23545074,,,16.55999947,53.33533478,51.85469437,,87.59999847,14.43000031,12.93122673,20.26759529
2020-02-18,225.96545410,11.75000000,,378.85000610,1.01024997,61.54425812,107.78350067,,,291.51876831,10.01000023,62.40000153,26.63603592,11.71000004,,,,,,,18.86199951,,55.65000153,22.79999924,,150.91000366,75.25589752,,,,,20.37000084,84.68000031,131.23089600,30.24837685,215.90403748,8.42000008,,24.10908127,56.31418228,,59.49526978,38.77799988,91.66705322,3.81765032,7.37228537,24.82634735,,,50.56503677,,,,75.88212585,,,17.01000023,57.22666550,50.06351089,,87.59999847,14.18000031,13.26942825,20.32851601
2020-02-19,228.13148499,12.07999992,,383.27999878,1.01024997,63.66941833,108.51100159,,,299.25982666,10.01000023,62.63000107,27.05947113,14.09000015,,,,,,,21.35600090,,57.36999893,24.20000076,,151.78999329,75.52483368,,,,,20.80999947,87.22000122,131.06333923,31.03959084,215.59674072,8.52000046,,24.51754761,58.49848938,,57.94061661,38.61899948,92.08045197,3.77273703,7.82297182,25.21843338,,,50.55591965,,,,78.06297302,,,17.22999954,61.16133118,51.36456680,,89.44000244,14.10000038,13.38879108,19.74546623
2020-02-20,226.01361084,11.81999969,,378.95999146,1.01024997,62.71545029,107.65499878,,,295.56378174,10.01000023,63.02999878,26.50660324,12.72000027,,,,,,,21.76199913,,59.31999969,24.59000015,,152.41000366,75.13453674,,,,,20.87999916,86.30000305,132.15222168,30.54125214,212.71203613,8.65999985,,24.43973541,57.53308868,,58.43843079,38.59999847,92.14331818,3.73680592,7.67382002,25.44121742,,,50.61975861,,,,77.12341309,,,17.13999939,59.96066666,50.33086395,,90.23999786,14.40999985,12.93122673,19.93691254
2020-02-21,221.67202759,11.27999973,,372.95001221,1.12500000,60.70364380,104.79850006,,,288.52041626,10.01000023,64.02999878,26.10031319,11.77999973,,,,,,,22.01799965,,50.59000015,23.11000061,,154.69999695,73.47383118,,,,,20.25000000,83.13999939,132.18942261,29.45437050,208.35035706,8.81999969,,23.75896263,55.57306671,,58.55656815,38.00699997,90.09434509,3.73680592,7.31013966,25.29863930,,,49.86288452,,,,75.02012634,,,17.28000069,60.06666565,49.53775406,,89.27999878,14.18000031,12.78202057,20.38943100
2020-02-24,213.12356567,10.58500004,,357.41000366,1.08000004,57.69065857,100.46450043,,,273.81164551,10.01000023,63.66999817,24.99458504,11.76000023,,,,,,,21.42000008,,51.20999908,20.64999962,,156.08999634,70.32382202,,,,,19.30999947,80.00000000,128.56922913,27.93516159,198.97271729,8.46000004,,22.32934380,53.64229584,,57.78661728,36.86999893,86.19399261,3.61104846,6.79333115,24.55901527,,,48.01170731,,,,71.82208252,,,17.39999962,55.58599854,48.22780228,,85.91999817,13.69999981,12.62286472,19.99782753
2020-02-25,207.32836914,10.19499969,,347.79998779,1.08000004,55.59383774,98.63700104,,,268.33343506,10.00000000,59.41999817,24.23000526,10.75000000,,,,,,,20.80800056,,48.56999969,20.51000023,,153.30000305,68.66262817,,,,,15.00000000,77.80000305,126.01922607,27.16905022,195.05709839,8.18999958,,22.02785492,50.80463791,,57.02508926,36.00899887,83.48892212,3.51223850,6.51417065,23.49859238,,,46.47059250,,,,69.14987946,,,16.70999908,53.32733154,47.99610519,,83.19999695,13.40999985,12.43387127,19.26683807
2020-02-26,208.39692688,10.18000031,,351.33999634,1.08000004,56.49113083,98.97949982,,,269.96466064,10.01000023,55.54000092,24.50429344,10.73999977,,,,,,,20.31200027,,46.11000061,20.69000053,,153.97000122,68.86815643,,,,,16.19000053,77.52999878,124.26959991,27.57628250,195.48332214,7.92000008,,21.74582291,51.06793213,,56.84366608,37.92399979,82.68009186,3.72782373,6.65337801,23.02630615,,,47.46456528,,,,68.66714478,,,16.68000031,51.91999817,49.03872299,,81.51999664,13.68000031,12.25482368,18.86653709
2020-02-27,197.96163940,9.56000042,,337.51998901,1.08000004,53.83705902,94.21499634,,,261.39385986,9.97999954,54.06000137,23.48170853,9.17000008,,,,,,,17.75399971,,44.25000000,19.61000061,,154.00000000,65.12776947,,,,,15.75000000,74.80000305,120.23058319,26.56285667,188.09820557,7.34000015,,19.98554420,49.32244110,,54.25245285,37.17100143,79.57958221,3.55715227,6.28301430,21.85004044,,,46.30645752,,,,65.46048737,,,16.46999931,45.26666641,47.48815536,,78.23999786,13.03999996,11.77736473,17.91798401
2020-02-28,198.11570740,8.93000031,,345.11999512,0.88200003,54.89490891,94.18750000,,,260.90356445,9.97999954,51.38999939,23.36770821,9.06999969,,,,,,,16.58200073,,45.77000046,19.79999924,,148.38000488,66.33131409,,,,,16.26000023,77.81999969,117.38281250,27.28155136,190.79450989,7.46000004,,20.71493912,51.25320435,,53.59722137,36.90299988,80.54835510,3.47630739,6.71755171,21.39557076,,,45.10274124,,,,67.49482727,,,15.52999973,44.53266525,47.97827911,,75.59999847,13.18999958,11.72762680,16.73447418
