date,ticker,forward_pe,price_target_gap,beta_252,momentum_12_1,drawdown_252,vol_20,vol_60,vol_ratio_20_60
2026-04-15,APP,23.01415400,0.39603857,2.19176377,0.92019305,-0.36664392,0.75299579,0.98026642,0.76815423
2026-04-15,ASML,32.44017000,0.02035977,1.52038111,1.06221439,-0.02930868,0.53906556,0.44753368,1.20452510
2026-04-15,ASTS,-575.25820000,0.02577379,2.17925098,2.88956793,-0.28814804,1.06200189,1.08253698,0.98103059
2026-04-15,AVAV,48.96913500,0.56972735,1.15885478,0.48375350,-0.51584802,0.59263322,0.83025412,0.71379739
2026-04-15,AVGO,22.04387000,0.19208497,1.65811068,0.83262516,-0.03549199,0.47530160,0.43082638,1.10323234
2026-04-15,BE,69.99328600,-0.32753461,2.85144662,7.58547463,-0.02369540,1.33079858,1.13781203,1.16961198
2026-04-15,CEG,21.45346300,0.26657052,1.25915590,0.48586809,-0.26856387,0.56498078,0.49156577,1.14934932
2026-04-15,COIN,36.89605700,0.21442496,2.43777475,0.15143281,-0.53332699,0.69526228,0.87356071,0.79589462
2026-04-15,CRCL,48.33205800,0.21382202,2.26727804,,-0.59946862,1.06282823,1.18717530,0.89525804
2026-04-15,CRDO,35.48947500,0.17577178,2.76470673,1.98925836,-0.11015379,1.04692138,1.03154495,1.01490622
2026-04-15,CRML,-28.67742000,0.68728909,1.63820924,2.58039227,-0.70337002,1.03004002,1.29235450,0.79702591
2026-04-15,CRWV,-217.36105000,0.04052574,2.62363356,0.96881448,-0.35346987,0.88396987,1.02131235,0.86552353
2026-04-15,CVNA,35.17646000,0.14126334,1.77586325,0.49450499,-0.22441221,0.64715306,0.67767531,0.95496037
2026-04-15,FIGR,27.40000000,0.49845592,2.40591232,,-0.51806255,0.80348981,1.19671397,0.67141341
2026-04-15,FSLR,8.01847800,0.27714488,1.20059066,0.51973186,-0.31410099,0.43932103,0.53726002,0.81770654
2026-04-15,FSLY,63.32782400,-0.31565441,0.84161605,3.24394812,-0.30208958,1.53602656,1.81899654,0.84443622
2026-04-15,GEV,43.06947000,-0.06318241,1.35367787,1.57312045,-0.00544731,0.46323011,0.42999581,1.07728981
2026-04-15,GLD,,,0.03488700,0.55429894,-0.11179674,0.37455912,0.42350085,0.88443535
2026-04-15,GOOGL,25.07687600,0.11512963,0.97547723,0.92757597,-0.01842562,0.38046475,0.28979898,1.31285746
2026-04-15,HOOD,32.42588800,0.18840186,2.46519289,0.70616218,-0.42725964,0.74040633,0.76596092,0.96663721
2026-04-15,IONQ,-47.42272600,0.50961318,2.31598063,0.31321501,-0.47313921,1.21965251,1.07038710,1.13944993
2026-04-15,IREN,38.59288400,0.47617104,2.36368835,6.81565194,-0.36107843,0.86198250,1.05684311,0.81562012
2026-04-15,JOBY,-19.63440900,0.30315225,1.93553581,0.63122919,-0.55223147,0.51546342,0.63687051,0.80936927
2026-04-15,KTOS,69.44212000,0.57179212,1.29338271,1.71385251,-0.42885555,0.86706022,0.84365227,1.02774597
2026-04-15,LITE,52.02737000,-0.06148246,2.13132538,10.93353742,-0.08167835,1.08787955,1.00908344,1.07808681
2026-04-15,LLY,21.53976800,0.33662939,0.29017702,0.32093006,-0.18325257,0.28793768,0.41196230,0.69894182
2026-04-15,LRCX,37.16171600,0.05268151,2.00092045,2.25681628,-0.02661429,0.67898833,0.61949322,1.09603836
2026-04-15,META,18.85596300,0.27412862,1.29952873,0.18425445,-0.14790220,0.53021448,0.44966039,1.17914427
2026-04-15,MOD,32.28334000,0.09659381,1.74378702,1.55716300,-0.07334912,0.77062905,0.76054487,1.01325915
2026-04-15,MP,47.50275400,0.30531435,1.11067701,1.15150418,-0.39665485,0.78819205,0.73151925,1.07747274
2026-04-15,MRVL,24.81302800,-0.08319740,1.84319594,0.75625037,0.00000000,0.71677515,0.66140367,1.08371814
2026-04-15,MU,4.64768550,0.16985950,2.11187440,5.23305519,-0.02025081,0.81117286,0.72247598,1.12276794
2026-04-15,NBIS,-242.08861000,0.02108113,2.63286348,5.26386922,0.00000000,0.88062842,1.08407653,0.81233050
2026-04-15,NEE,20.86950100,0.04293369,0.15037068,0.41203233,-0.03990250,0.18775669,0.19629535,0.95650096
2026-04-15,NFLX,27.73700300,0.05868842,0.49891850,0.02224893,-0.19567179,0.27359100,0.41427396,0.66041082
2026-04-15,NKE,24.17870000,0.40051474,0.62329299,0.01362624,-0.41604154,0.62916573,0.43582615,1.44361629
2026-04-15,NOK,21.86761000,-0.12912913,0.69144809,0.77243799,-0.03664418,0.56154858,0.48216718,1.16463461
2026-04-15,NVDA,17.73965000,0.34873007,1.52867466,0.65534443,-0.03935555,0.36495448,0.38203226,0.95529754
2026-04-15,NVT,26.57002400,0.01703798,1.30662842,1.31067188,-0.02305169,0.55917663,0.44541033,1.25541908
2026-04-15,NXT,22.89635000,0.13546168,1.40017654,1.89933704,-0.15565094,0.77448925,0.68096978,1.13733277
2026-04-15,OKLO,-75.06902000,0.42709155,2.61639009,1.64700668,-0.63621225,0.90944677,0.91009237,0.99929061
2026-04-15,ORCL,21.29887800,0.45137931,1.38834727,0.16597258,-0.47872562,0.64174791,0.59841566,1.07241164
2026-04-15,PL,-1720.50000000,0.01714618,1.43469947,6.83439476,-0.05854992,1.42840596,1.06177141,1.34530460
2026-04-15,PLTR,76.32296000,0.30318255,1.72479491,0.64888789,-0.31388165,0.63074852,0.58348431,1.08100340
2026-04-15,QBTS,-56.36053000,0.76625228,2.72302987,1.48717936,-0.53528361,1.26979632,1.04493664,1.21518978
2026-04-15,QCOM,12.00441800,0.16443871,0.99179955,-0.04862643,-0.28288339,0.21071118,0.28551762,0.73799711
2026-04-15,QQQ,,,1.00000000,0.31705501,0.00000000,0.24448525,0.20058170,1.21888113
2026-04-15,RDW,-21.54347800,0.36226034,2.30116250,0.05066080,-0.51823043,0.78700582,1.20289940,0.65425739
2026-04-15,RKLB,1436.09750000,0.17774647,2.25999653,2.72765294,-0.23572174,0.96647342,0.88633156,1.09041974
2026-04-15,SLV,,,0.69835538,1.49217166,-0.31969699,0.59058837,0.95654698,0.61741701
2026-04-15,TSLA,141.40631000,0.05956525,1.70116499,0.56750540,-0.19990608,0.51231411,0.40852232,1.25406636
2026-04-15,TSM,20.34850100,0.17179568,1.50968145,1.20403040,-0.02984821,0.46613015,0.41259636,1.12974857
2026-04-15,USAR,-12.48299300,0.73297003,1.52266329,0.65872338,-0.52559462,0.98463485,1.12339528,0.87648121
2026-04-15,USO,,,-0.52399116,0.72562245,-0.11767674,0.77254415,0.62577619,1.23453747
